HUD_unit_occupancy_rate,average_Jan_temperature,average_summer_temperature,city_or_urban,gini_coefficient_2016,high_housing_density,house_price_index_2009,log_median_rent,medicare_reimbursements_per_enrollee,migration_4_year_change,net_migration,number_eviction,percentage_excessive_drinking,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,poverty_rate,proportion_one_person_households,rate_unemployment,rental_vacancy_rate,share_HUD_units,share_built_before_1940,share_no_bachelors,share_overcrowded_units_2016,share_renters_2016,share_under_18_with_single_parent,share_veteran_status,suburban,total_Jan_precipitation,total_annual_precipitation,utility_costs
93.1463317871094,51.6274871826172,81.8136215209961,0,46.2580604553223,0,-5.79436288588525,1.71382796764374,8.93580784337352,0.813637256622314,10656,9731,0.164333045482636,13.7937841415405,26.9072227478027,18.6098136901855,28.5849990844727,6.05707979202271,16.8044662475586,2.31274318695068,3.66392350196838,80.085334777832,2.10228419303894,30.8388118743896,36.9973258972168,11.3317604064941,0,3.0773983001709,55.9956436157227,17.6856250762939
92.6983032226563,65.5717239379883,83.1255416870117,0,46.0227546691895,0,-3.72709415285189,1.71741712093353,11.1331602821176,2.32163906097412,3935,307,0.158685192465782,11.9368505477905,26.095645904541,21.0206031799316,27.5648803710938,6.38396835327148,11.8863620758057,0.670746326446533,2.32726883888245,88.3723831176758,4.80245685577393,28.1206512451172,29.2091846466064,11.4623098373413,0,1.19204783439636,57.1550369262695,14.3911466598511
97.0,36.810001373291,79.3899993896484,1,51.8600006103516,1,-1.02303449767493,1.75613224506378,10.68361,-0.92964380979538,-4579,3138,0.206272959709167,14.8809719085693,29.1640071868896,23.3917942047119,44.6858329772949,5.45926523208618,7.32752704620361,7.59940528869629,56.0055389404297,64.6431427001953,1.91626942157745,56.7494087219238,53.3972930908203,8.02312469482422,0,1.5,41.4099998474121,18.0
89.0,46.689998626709,72.7133331298828,1,42.7700004577637,0,45.4900098375114,2.4849066734314,11.03,0.53264582157135,3963,1061,0.180765554308891,18.7261371612549,29.0533981323242,11.0604152679443,21.762378692627,5.50673580169678,4.68238115310669,4.28733396530151,6.41043043136597,75.0287933349609,4.55355596542358,40.7611045837402,27.029109954834,11.6022233963013,0,12.4799995422363,22.8600006103516,13.6999998092651
91.0,33.0299987792969,72.3833312988281,1,46.4899978637695,0,-1.50602409638554,1.63315439224243,10.17646,-0.0287485718727112,-996,1184,0.158108621835709,12.1754283905029,25.063362121582,18.0845375061035,33.332649230957,6.37182807922363,6.09401702880859,4.70412969589233,22.0220184326172,74.8871612548828,0.711911678314209,31.7128963470459,32.6954078674316,10.5518016815186,0,5.26999998092651,37.3199996948242,12.5
96.0,29.2099990844727,68.8166656494141,1,43.5999984741211,0,12.8608237798275,2.15871477127075,8.64838,0.880802571773529,9205,3616,0.182684376835823,15.1027946472168,23.4878463745117,11.2125129699707,25.3803977966309,3.73726630210876,4.32793045043945,1.84223282337189,5.47498893737793,62.9008674621582,2.49479508399963,37.3216361999512,22.0796298980713,20.2117195129395,0,0.639999985694885,15.1099996566772,14.6000003814697
94.5862426757813,37.0593376159668,69.6988067626953,0,44.7117156982422,0,22.4280418043889,2.44129920005798,9.94764315301956,0.669829905033112,6189,271,0.205106019973755,19.1190280914307,26.8951148986816,7.93700885772705,25.3868789672852,4.54963159561157,5.2140645980835,0.933358728885651,4.22521066665649,62.4529647827148,2.10780072212219,29.4904384613037,17.3680438995361,10.964301109314,1,25.3217010498047,59.057014465332,16.2482566833496
97.0,30.8099994659424,71.9599990844727,0,46.3400001525879,1,4.69432626138602,1.98650348186493,9.68344,-0.262415111064911,-2645,0,0.192408800125122,13.6422996520996,29.9237213134766,14.2831907272339,32.1710090637207,4.69473838806152,6.34862613677979,5.51382493972778,25.3245182037354,61.235897064209,1.04232919216156,36.1591682434082,33.6608009338379,7.55457448959351,1,2.55999994277954,29.6000003814697,11.3999996185303
92.0,37.1699981689453,75.9466705322266,0,49.5099983215332,1,0.543660735039637,2.34851408004761,10.57547,-0.112265780568123,1173,8,0.164885357022285,21.5218162536621,28.9247093200684,10.4124708175659,24.5508060455322,5.1712007522583,4.47314548492432,4.87302494049072,23.7147388458252,64.2516174316406,4.90502452850342,41.178768157959,23.5333671569824,4.37578916549683,1,4.30000019073486,38.0200004577637,14.0
94.0,31.9599990844727,60.6933326721191,1,46.8199996948242,1,24.183267339902,2.44147706031799,9.16776,-0.0275899171829224,25671,1485,0.194646403193474,17.0263385772705,21.441499710083,9.13007736206055,30.157995223999,3.9374406337738,3.04739165306091,3.75818657875061,12.3488788604736,49.2140426635742,3.21552419662476,42.7218933105469,19.0138168334961,7.49776268005371,0,4.32000017166138,79.879997253418,12.3999996185303
